Year,Inflation Rate (%)
2019,7.66
2018,4.86
2017,2.49
2016,4.94
2015,5.87
2014,6.35
2013,10.91
2012,9.31
2011,8.86
2010,11.99
2009,10.88
2008,8.35
2007,6.37
2006,5.8
2005,4.25
2004,3.77
2003,3.81
2002,4.3
2001,3.78
2000,4.01
1999,4.67
1998,13.23
1997,7.16
1996,8.98
1995,10.22
1994,10.25
1993,6.33
1992,11.79
1991,13.87
1990,8.97
1989,7.07
1988,9.38
1987,8.8
1986,8.73
1985,5.56
1984,8.32
1983,11.87
1982,7.89
1981,13.11
1980,11.35
1979,6.28
1978,2.52
1977,8.31
1976,-7.63
1975,5.75
1974,28.6
1973,16.94
1972,6.44
1971,3.08
1970,5.09
1969,-0.58
1968,3.24
1967,13.06
1966,10.8
1965,9.47
1964,13.36
1963,2.95
1962,3.63
1961,1.7
1960,1.78
