zip_2,term,int_rate,sub_grade,home_ownership,annual_inc,verification_status,dti,revol_util,mort_acc,credit_line_ratio,bal_annual_inc,cibil_score,inst_anmt_ratio
0,1.181818182,13.01818182,23.36363636,3.818181818,11.08842315,0.818181818,20.37090909,51.22727273,1,0.487693407,0.215835246,697,0.031794208
1,1.271411442,12.6290716,23.97250771,3.699468996,11.16680592,1.088814663,17.13766615,53.10809353,1.722935937,0.503237289,0.218192681,700.5119904,0.030608173
2,1.244294993,12.67067885,23.91831925,3.564924987,11.14943561,1.074150716,16.71824108,53.77949417,1.383686843,0.511795306,0.211444088,698.9681554,0.030920855
3,1.243430152,12.71316143,23.86050188,3.73898439,11.12022635,1.037739577,18.64164394,54.7548113,1.840940526,0.487123276,0.209772911,699.1765461,0.03094721
4,1.218214608,12.31861136,24.07394049,3.844003607,10.99798732,1.126239856,19.76448151,54.41064022,1.853922453,0.483409385,0.233060438,697.1893598,0.031053472
5,1.231106777,12.73279863,23.80253535,3.753778645,10.98797242,1.088249634,19.94650902,56.86099464,1.976109215,0.46357537,0.219429754,699.0136519,0.031082612
6,1.243416416,12.97320177,23.51207791,3.714423015,11.17739539,1.061254565,17.01665086,53.52450823,1.676042801,0.515763354,0.202496575,698.4191709,0.031080295
7,1.240967021,12.97408444,23.50497088,3.546796304,11.2337029,1.103140192,16.46657294,51.90920816,1.225025183,0.52809668,0.200425934,697.3928962,0.031095119
8,1.265425931,13.09748751,23.32962778,3.731513865,11.1810481,1.087496877,17.29173932,52.54732076,1.694541594,0.511831518,0.205716539,697.3210717,0.03089397
9,1.173076923,12.28596154,24.30769231,3.461538462,11.25638153,1.25,19.92480769,54.51538462,1.067307692,0.419850707,0.215297231,707.5769231,0.03154521
10,1.214077468,13.21751089,23.15993336,3.356328802,11.21158346,1.118359774,14.81639733,52.84579304,0.63867328,0.554313932,0.197346661,697.4911968,0.031512312
11,1.219568394,13.25428993,23.11602225,3.441103743,11.14154213,1.102337867,15.35283185,52.20957682,0.73904125,0.555330671,0.205935474,697.3185765,0.031474178
12,1.279979803,13.17575612,23.23289573,3.775183035,11.08418012,1.071572835,19.10137213,54.34665615,1.558823529,0.494457101,0.215132072,698.4328452,0.030787679
13,1.269141914,13.21169637,23.17722772,3.873762376,10.96630226,1.062541254,20.55491419,53.76148515,1.526567657,0.485899072,0.22724748,698.3713696,0.03091099
14,1.256689209,13.10066745,23.31725963,3.833480349,10.98100093,1.05802215,19.76973635,53.72314025,1.464275213,0.495716379,0.221830137,698.7725179,0.030994194
15,1.278989098,13.19223117,23.19995045,3.816526264,11.0113311,1.067888999,19.71451933,53.0430005,1.372150644,0.507624991,0.219493395,697.9930005,0.030792875
16,1.287470024,13.06286271,23.35581535,3.863908873,10.96118531,1.03057554,20.11313849,53.81468825,1.48411271,0.483836303,0.224128634,698.2589928,0.030636254
17,1.294371602,13.37863447,22.90166294,3.798688839,10.99301354,1.035657179,19.52333067,54.74721778,1.83082827,0.477346052,0.22726957,696.6075312,0.030731667
18,1.285032085,13.27280406,23.0659603,3.822862259,11.07977003,1.063721833,18.77319952,52.82254887,1.800776004,0.495677452,0.218153304,698.00582,0.030774819
19,1.2716102,13.19778109,23.14539385,3.712266496,11.13348507,1.080474466,17.8667654,54.75398821,1.63086867,0.508889037,0.209354832,697.8659351,0.030883729
20,1.263079961,13.06926017,23.34079193,3.625150817,11.30835944,1.108368981,16.74401119,55.15297466,1.806515301,0.497866131,0.191004378,697.5605737,0.030912511
21,1.279420207,13.17920135,23.19682836,3.737729621,11.17370498,1.108926521,17.92175158,54.22266217,1.949842135,0.489567288,0.205384003,696.9645522,0.030791872
22,1.2589802,12.89986858,23.6159979,3.606973892,11.26655309,1.095934817,17.56019537,55.6159979,1.773786578,0.482548287,0.199327268,698.9165499,0.030870276
23,1.299365544,13.51092338,22.71625183,3.741239629,11.09028537,1.111469009,19.02339971,55.64579893,2.022059541,0.481444912,0.220756442,696.0493411,0.030742255
24,1.282202557,13.34156342,23.07374631,3.912979351,10.91903163,1.08726647,20.05201819,53.95024582,1.837758112,0.460909858,0.231522171,698.0693215,0.030847497
25,1.321245932,13.03855416,23.43747094,3.967921897,11.04597487,1.027429103,19.45017201,53.36123199,1.940492794,0.46518091,0.225518227,699.2689447,0.030278513
26,1.305587229,13.24566135,23.10034208,3.950399088,10.96260243,1.058722919,20.22062714,52.22839225,1.638540479,0.468243089,0.231566281,699.1750285,0.030541822
27,1.275785418,13.22323651,23.16641968,3.808758151,11.05546845,1.08358032,18.42678794,53.60737996,1.729919976,0.499051049,0.218117038,697.7006891,0.030853583
28,1.285527006,13.33252098,22.99285527,3.823610383,11.05416851,1.104745674,18.70382997,53.97040509,1.775235973,0.490440816,0.222198283,696.6566269,0.030807098
29,1.272071624,13.31764404,23.02511813,3.879383238,11.04634916,1.09558153,19.27725773,53.88923153,1.85244135,0.48405029,0.222383621,697.2143331,0.030934729
30,1.249927704,13.06121711,23.33473106,3.801077212,11.13069488,1.111516773,18.22838093,52.99398496,1.895206767,0.4987747,0.210458392,696.995355,0.031051543
31,1.273698491,13.59869086,22.62506359,3.858572155,11.01463607,1.109208072,20.10170934,54.57812447,1.756486349,0.471638033,0.228049308,696.3640834,0.031057662
32,1.24097932,13.19045543,23.16933682,3.728832898,11.00920207,1.091514143,18.84324269,52.76644545,1.673971952,0.500997445,0.219397783,695.8766342,0.031206951
33,1.224035008,13.19566879,23.17154854,3.644660292,11.04841133,1.108463601,17.95897835,51.2799489,1.342565893,0.535952654,0.21374427,695.418842,0.031393904
34,1.23459371,13.18955826,23.14660971,3.762770405,11.00029043,1.106526086,18.49998728,51.0727595,1.687784039,0.510774711,0.219464285,694.7564534,0.031277528
35,1.29783172,13.62536343,22.55843447,3.941633711,11.05764738,1.089594982,19.75307923,55.02408564,2.000954589,0.461716979,0.221544787,696.2308741,0.03081146
36,1.282649254,13.7001959,22.46529851,3.94869403,11.00434789,1.095522388,20.40972388,54.87653172,1.812313433,0.4694435,0.225391652,696.3460821,0.0310172
37,1.279365952,13.41941176,22.80098955,3.826094924,11.01300194,1.117280557,19.6170744,53.91703317,2.013560564,0.472253105,0.229130757,695.5834708,0.030920263
38,1.257906308,13.32297987,22.85591071,3.894131574,11.02440024,1.123287671,20.11778792,52.51544055,1.78809403,0.47406395,0.225452133,695.7621343,0.031110319
39,1.260346346,13.3558644,22.52010566,3.980041092,11.04017359,1.182271793,20.3804931,54.50416789,1.660992075,0.451137796,0.223974114,693.5526856,0.031100426
40,1.283015373,13.11449528,23.26319689,3.842192999,11.02233139,1.063345064,18.96260233,53.89177625,1.976477125,0.470356331,0.220301955,697.9974069,0.030724944
