zip_2,term,int_rate,sub_grade,home_ownership,annual_inc,verification_status,dti,revol_util,mort_acc,credit_line_ratio,bal_annual_inc,cibil_score,inst_anmt_ratio
0,0.404519917,5.032591416,6.874194168,0.603022689,0.461202381,0.750757194,12.40834272,20.83156696,1.264911064,0.156975494,0.106463967,22.47220505,0.00386413
1,0.44470688,4.632197317,6.569478287,0.62293336,0.498241859,0.841478214,7.875985441,24.15216237,2.06814729,0.168485656,0.103814306,32.97882368,0.00429326
2,0.429680768,4.607725275,6.546730211,0.638854478,0.497967286,0.844971654,7.939495126,24.29375938,1.960020775,0.175126372,0.104848317,31.75199615,0.004170961
3,0.429194957,4.551299307,6.450472825,0.618585403,0.520732238,0.8411116,7.899455704,24.30712072,2.112870269,0.168756917,0.108609763,32.43159266,0.004212983
4,0.413220233,4.630173374,6.153565554,0.652689952,0.493440138,0.846700125,8.167054382,24.39357668,1.965940915,0.169029318,0.116763987,30.65338767,0.004088206
5,0.421643352,4.517421795,6.361968817,0.628842613,0.459708944,0.873185035,8.300264991,24.1305302,2.239101448,0.163823777,0.111580699,31.13137871,0.004269004
6,0.429158089,4.58220453,6.477147959,0.645680021,0.547134795,0.836401144,8.01127938,24.11351505,2.026640342,0.175747981,0.110218063,31.6669639,0.004222084
7,0.427679701,4.579362859,6.495732272,0.664781531,0.554165735,0.821277379,8.133076481,24.0080227,1.863531507,0.178944822,0.108951977,31.12617432,0.004253462
8,0.441573531,4.605924926,6.538548892,0.656127016,0.520186888,0.824808064,8.039958623,24.222972,2.060890023,0.174358318,0.108818421,31.24021288,0.004352385
9,0.3801458,5.007497005,7.169348081,0.667164365,0.424496785,0.797447384,8.183503888,27.44949031,1.547088861,0.155760807,0.115800064,35.32311114,0.003427859
10,0.410188586,4.581723803,6.503756062,0.627997233,0.583679057,0.816434917,8.122646678,24.42041978,1.378100739,0.185908649,0.10921972,30.80995428,0.004074766
11,0.413960058,4.583928017,6.484273411,0.673024407,0.527542739,0.826733297,8.167252375,24.0157022,1.470415974,0.186045146,0.109232157,30.81615003,0.004140733
12,0.449017331,4.599589992,6.509714293,0.665354607,0.492344533,0.838598138,8.21461449,23.9066761,1.898214373,0.166194619,0.110909346,31.75183542,0.004365306
13,0.443550458,4.526595819,6.436117675,0.65512166,0.483667551,0.843731374,8.061198369,23.95648566,1.800621677,0.168393702,0.113908911,31.35271627,0.004376538
14,0.436827839,4.55744824,6.47446109,0.656283483,0.483837054,0.845299681,8.141549143,23.91107182,1.707305483,0.168397251,0.113199739,31.98072869,0.004304007
15,0.448529937,4.518272152,6.420248139,0.652594623,0.50081692,0.846750465,8.218225567,23.93738339,1.703162693,0.172501154,0.113761009,31.12849986,0.004395289
16,0.452650448,4.422363447,6.276646876,0.643317542,0.513782026,0.855510631,8.233103226,23.72919798,1.76209957,0.169417465,0.113885137,30.89306521,0.004460296
17,0.455796205,4.535458207,6.450695321,0.616364766,0.478960215,0.838373648,8.187113535,23.89605351,2.040099225,0.168642079,0.114227155,31.03925677,0.004464627
18,0.451463411,4.545659948,6.46387026,0.639348724,0.516053154,0.838601428,8.212260608,23.88978631,2.044615643,0.170119414,0.112856367,31.51171489,0.004428002
19,0.444805746,4.600821624,6.566463174,0.642605307,0.513070138,0.828178887,8.122157426,24.28777562,2.017127692,0.176488791,0.111081957,31.42159517,0.004340915
20,0.440317531,4.667934779,6.651383271,0.626693103,0.495837468,0.811325759,8.016874872,24.73855732,2.284361332,0.1768419,0.104745193,30.90467671,0.004285168
21,0.448730435,4.664637861,6.599491667,0.621836912,0.488178273,0.820645407,8.101271706,24.28580903,2.232260768,0.169876897,0.108199407,31.27761269,0.004365001
22,0.438093906,4.679317852,6.665309355,0.623222778,0.513021635,0.816994607,8.140233433,24.87944021,2.186436867,0.169761879,0.106742352,31.95120777,0.004281035
23,0.4580025,4.699824667,6.707360909,0.606246466,0.483718397,0.816458863,8.392845214,24.29089318,2.240015692,0.167577279,0.111923736,30.57330203,0.004419137
24,0.450126738,4.629832881,6.510340097,0.618379802,0.478533139,0.84268069,8.392519939,24.29953626,2.021212827,0.163662435,0.11469712,31.9634444,0.004419127
25,0.467063594,4.508606303,6.501711397,0.586192528,0.485859609,0.835653673,8.008407223,23.82408148,2.043069177,0.160437253,0.111831876,32.68045903,0.004497003
26,0.460787073,4.542824905,6.592461416,0.645615658,0.508390012,0.837972024,8.477027213,23.56068116,1.801127026,0.169779443,0.114451886,32.06193438,0.004400505
27,0.446925745,4.641183428,6.567009858,0.59697923,0.505313493,0.835118466,8.414596072,24.20465623,1.991507689,0.173229682,0.114226714,31.31808588,0.004387945
28,0.451679873,4.676059706,6.598373017,0.617049127,0.526407311,0.833288747,8.356641516,23.92930146,2.049250755,0.173477013,0.114847139,30.6150778,0.004401176
29,0.445045025,4.635919481,6.569219899,0.595505092,0.497190953,0.83225847,8.424758745,24.05832983,2.030715589,0.169802758,0.11436088,30.79148681,0.004382655
30,0.432978779,4.638266787,6.602070351,0.604730413,0.518736355,0.825587851,8.357279093,24.06257485,2.080034769,0.172988134,0.110493422,31.09603025,0.004250845
31,0.445893869,4.637700511,6.630231935,0.622678753,0.476840201,0.821983198,8.47845655,23.92912519,1.986825434,0.16874342,0.114602455,29.98788571,0.004364177
32,0.427687951,4.528457959,6.419463332,0.635816607,0.518466438,0.837768356,8.400833456,23.90943722,1.979260391,0.175698675,0.111385,30.59099413,0.004248261
33,0.416950501,4.520516173,6.396036256,0.670525033,0.530105769,0.836898961,8.249693617,23.42837224,1.82963758,0.186200032,0.109097959,29.62837082,0.004171657
34,0.423763877,4.525306429,6.420954969,0.645009846,0.529979235,0.838746247,8.49491518,23.44710403,1.947276566,0.177942322,0.110918075,30.31393054,0.004257074
35,0.457336319,4.624289762,6.563241082,0.579827658,0.483583771,0.830256411,8.378982683,23.96741283,2.087521485,0.167154237,0.113573172,30.31468464,0.004480528
36,0.450329311,4.605498995,6.544428744,0.615603973,0.48586968,0.82901891,8.496150893,23.86218285,1.952849092,0.168131883,0.114887052,30.22365785,0.004414845
37,0.448708218,4.640170069,6.543300777,0.597033517,0.502371274,0.83363065,8.345867248,23.50688435,2.047676784,0.171307851,0.112918449,29.63096653,0.004375007
38,0.437519163,4.615542096,6.472425585,0.611643669,0.508367699,0.839759946,8.501005613,23.86895245,1.868543544,0.166959002,0.113912913,29.51167085,0.004247777
39,0.438887985,4.634278819,6.57434945,0.640812662,0.504561672,0.833779152,8.539465707,23.8502631,1.824946676,0.167777447,0.113616268,28.53429853,0.004277344
40,0.450505564,4.548894173,6.477552616,0.592898013,0.507848493,0.840607059,8.231741664,23.80073997,2.070721308,0.168290849,0.112954357,30.7179256,0.004379809
41,0.459461195,4.616851039,6.610981658,0.59292145,0.475626832,0.824765444,8.233217033,23.35857172,1.943908088,0.163531707,0.114136049,30.4979374,0.00444148
42,0.446742045,4.441664608,6.2826184,0.595225323,0.48386437,0.849651957,8.32856871,24.08844461,2.072035521,0.166528705,0.114550419,29.74052724,0.004389787
43,0.44688958,4.561828634,6.479379532,0.604553789,0.484574763,0.841051788,8.169753137,23.68233413,1.823881451,0.166333131,0.111139435,30.62261895,0.004373739
44,0.440366593,4.551803974,6.44423194,0.608527449,0.492709772,0.843797119,8.109168772,23.22071676,1.775485096,0.166923126,0.112192381,30.98291359,0.004342825
45,0.447612972,4.529534377,6.438366914,0.581025142,0.490486997,0.839878807,8.096208849,23.84752523,1.980573237,0.168839073,0.113535038,30.7791795,0.004365783
46,0.449879335,4.597547658,6.482015519,0.560341831,0.493879785,0.83366461,8.151278233,23.17535315,1.996118006,0.165261206,0.110732953,29.44427037,0.004340584
47,0.457341057,4.550234567,6.356253981,0.550686855,0.470808081,0.834972511,8.195382224,23.1116873,2.02222828,0.16795226,0.111979793,29.49010058,0.004420942
48,0.433181289,4.526122682,6.421393786,0.631316354,0.508515564,0.833470918,8.15705993,23.62747008,1.964296285,0.171249128,0.10969997,30.10517131,0.004259062
49,0.441585906,4.548311094,6.457008406,0.578358377,0.504521721,0.849141422,8.172462684,24.16867849,1.959308972,0.16259084,0.11260439,30.55174077,0.004334902
50,0.351250087,4.419292024,6.315136767,0.611930449,0.5178665,0.767296936,9.666045774,27.2112153,1.733300033,0.141278767,0.140009604,39.41193811,0.004429012
51,0.487950036,5.830314049,8.788520651,1.253566341,0.643763107,0.951189731,7.752564553,31.28449334,0.534522484,0.085849,0.093485732,40.28174584,0.005628297
52,0.242535625,3.484350518,8.547875553,0.587867532,0.402328282,0.874474632,9.594290965,30.65036225,2.342070477,0.202290025,0.132510779,45.30939391,0.002555348
53,0.428802464,4.533090435,6.439154096,0.606074315,0.483731952,0.850033079,8.033227055,24.03431495,2.29332967,0.157569421,0.111695241,31.79617104,0.004165555
54,0.439358747,4.523833964,6.371054037,0.589324773,0.490067789,0.851319898,8.087308192,23.52033708,2.342023699,0.160689745,0.11422396,31.453804,0.004314629
55,0.438226509,4.576514562,6.465543029,0.60839013,0.493253381,0.83967315,8.100825099,24.19064264,2.016626489,0.169619199,0.109681844,30.52329984,0.004291791
56,0.42990924,4.491742653,6.373429997,0.595504915,0.463962169,0.855032484,8.49229295,23.9306743,1.910785985,0.170008633,0.113816874,30.59054529,0.004239582
57,0.426385114,4.44941078,6.312946079,0.624480092,0.473185366,0.848090126,8.283678139,22.96185537,2.079723031,0.166042452,0.112609627,28.45894163,0.004143221
58,0.40777062,4.617589807,6.172797324,0.666570136,0.526204552,0.803488708,8.614649071,23.59930279,1.725197935,0.181213892,0.112547853,28.55171164,0.004161045
59,0.430435586,4.440482921,6.24605375,0.628113,0.483775851,0.840140806,8.46555459,24.27928871,2.013347327,0.164137849,0.114180088,30.96705268,0.004186798
60,0.416330027,4.534435232,6.435707505,0.638952856,0.514048663,0.832236444,8.087071169,24.06852958,2.169492407,0.170239269,0.108695548,30.96862059,0.004092947
61,0.433556661,4.57438298,6.425376076,0.577404837,0.492776961,0.838871464,8.218529483,23.88220482,2.200456465,0.163660162,0.112088483,31.42402921,0.004212309
62,0.438735558,4.547814618,6.455004071,0.578349003,0.494552766,0.836416919,8.038135859,23.70389416,2.148872932,0.160729929,0.114867681,30.49267166,0.004294494
63,0.439621054,4.544854091,6.472731094,0.594800337,0.515867734,0.835823881,8.134849202,24.10840474,2.336061376,0.169170021,0.112044945,31.38575699,0.004299579
