,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,pub_rec,revol_bal,revol_util,annual_inc_joint,dti_joint,verification_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mort_acc,pub_rec_bankruptcies,revol_bal_joint,inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,fico_avg_score,sec_cibil_score,credit_hist,sec_credit_hist,balance_annual_inc,sec_balance_annual_inc,inst_amnt_ratio,credit_line_ratio
459321,1,10.91,6,26,10,4,11.22525673,1,0,2,38.24,0,9.832689481,59.5,11.78296024,25.23,1,0,5,1,2,12,12.16162952,67,2,2,8.636929873,64,0,1,1,1,0,10.77814346,0,1,6,49.3,3,9,717,612,5054,7489,0.16,0.091603053,0.032696667,0.323529412
459376,1,30.75,2,5,10,4,11.3504183,1,1,2,16.07,1,8.909640602,31.4,11.48761791,14.31,1,4,3,2,2,2,10.52390274,99,3,3,8.421342866,73,2,1,7,3,0,9.94458151,1,0,6,31.5,1,7,697,577,4689,2254,0.401470588,0.35,0.04286359,0.769230769
459384,1,16.02,5,20,10,4,11.01864554,1,0,2,7.63,1,8.386172929,31.3,11.66993776,3.98,1,1,1,1,1,9,8.725669706,77,2,2,7.575584652,48,0,2,1,1,1,9.263312257,0,1,3,88.5,0,3,692,657,8189,5451,0.10204918,0.053205128,0.035167871,0.636363636
459431,2,19.42,4,17,0.5,4,0,0,0,2,32.26145366,0,8.768885326,50.2,11.51293546,9,0,0,0,1,1,8,9.494165014,81,1,1,8.586905804,67,0,0,2,0,0,9.19998696,2,0,8,58.2,0,7,717,667,3045,5329,0,0.144,0.026172222,0.714285714
459617,2,20.39,4,16,1,3,11.40757606,0,1,1,43.11,0,10.93085443,94.1,12.02201759,32.96,0,0,5,1,3,8,11.44412186,44,0,2,9.493411832,67,2,1,11,2,0,11.46517326,1,2,18,75.1,4,22,682,672,8738,8677,0.266666667,0.144250708,0.026711667,0.5
459618,2,17.47,4,19,8,4,10.28878397,1,1,1,63.39,1,9.687753979,38.8,11.03005542,36.56,1,1,2,0,3,13,10.25488359,68,1,4,8.665440768,53,5,0,2,0,1,10.3656795,0,0,16,52.4,1,20,722,692,6881,6515,0.816326531,0.38897893,0.02510625,0.833333333
459641,1,20.39,4,16,4,4,10.46313191,2,0,2,32.56,0,9.120743838,50.2,11.28979441,28.99,2,1,2,2,2,4,9.734417801,84,0,3,8.126813721,68,1,0,3,1,0,10.5736987,0,2,14,44.1,2,15,697,672,6759,7428,0.857142857,0.375,0.037362667,0.391304348
459662,2,24.85,3,12,2,4,10.4733648,2,0,2,33.64,0,9.729015111,49.3,11.11210456,22.06,2,0,2,0,0,26,9.138736953,46,1,2,8.142354277,48,1,1,1,2,0,10.26879017,2,2,12,47.4,2,12,712,667,3593,3837,0.84841629,0.447921644,0.029263667,0.857142857
459776,2,21.85,4,15,5,5,9.210440367,0,1,2,107.44,0,10.20236918,65.6,11.78296024,36.55,0,0,0,0,0,55,0,71.16996114,2,2,8.986696696,66,0,0,1,0,0,11.24756572,0,3,11,94,5,4,702,652,14398,5054,1.7,0.129770992,0.027534118,0.6
459849,2,11.98,6,25,3,4,10.91510665,0,0,2,32.4,0,9.844109029,38.9,10.91510665,32.95,0,1,2,0,3,17,11.61872588,71.16996114,1,2,9.249176396,39,2,2,0,0,0,9.868326587,0,0,2,43.5,0,6,742,632,4445,3502,0.327272727,0.327272727,0.022234444,0.24
